keys;en;es
dialog_1;"Once upon a time…
Well, that is what everyone wants to hear. 
The truth is that the forest has been very quiet since it was defeated.
The town named it in different ways…
Beast, shadow, monster.
Bloodthirsty, with an inhuman wrath and a fierce roar, Nobody knows where it comes from or if it was human before, but the hero ended it. 
And this is their story. ";"Erase una vez…
O eso es lo que todos quieren oir. 
La verdad es que el bosque esta muy callado desde que lo derrotaron.
El pueblo lo nombro de diferentes maneras:
Bestia, sombra, monstruo…
Sediento de sangre, con una ira inhumana y un rugido feroz. Nadie sabe de donde proviene o si alguna vez se le considero humano, pero el heroe termino con eso.
Y esta es su historia."
dialog_2;There were legends, rumours and gossip about it, the so-called monster that was haunting the forest. People were disappearing all the time, the atmosphere in the town was heavy, when the sun set, everyone sought shelter in their homes.;Habia leyendas, rumores y chismes acerca de eso, el tan aclamado monstruo que rondaba en el bosque. Las personas desaparecen todo el tiempo, el ambiente en la aldea era tenso, cuando el sol se ponia, todos buscaban refugio en sus hogares.
dialog_3;"But not everybody fears him. 
Some look to shut down the fear from its root. 
Lukas has always been happy, he was such a knight.";"Pero no todos le temian. 
Algunos buscaban apagar el miedo desde la raiz. 
Lukas siempre fue feliz, el era tan caballeroso."
dialog_4;"He was back in town for his family, since they lived near the forest, he wanted to help the people of his town and defeat it. His golden hair, his braviness, his goals and his shining being made him stand out.
His family is his everything, he can’t let something bad happen to them. ";"El regreso a su aldea por su familia, ya que ellos vivian cerca del bosque, el queria ayudar a las personas de su aldea a derrotarlo. Su cabello dorado, su valentia, sus metas y su brillante ser lo hacian resaltar. 
Su familia lo era todo para el, no podia dejar que algo malo les sucediera."
dialog_5;"One day, he decided and started his expedition to the forest.
He was the hope of the town.
He was going deep into the forest, the darkness embraced him with a warm hug, but his shining heart would guide him through it.";"Decidido, un dia, inicio su exploracion del bosque.
El era la esperanza de la aldea. 
Se adentraba en lo profundo del bosque, la oscuridad lo engullia como un abrazo cálido, pero su corazon brillante lo guiaria a traves de ello. "
dialog_6;"The sounds made him nervous, the howl of wolves, the witches freaky laugh, and the lizards footsteps breaking sticks. But he knew danger was near, but he did not find it yet. 
Every step he made, made him even more dizzy, feeling his stomach heavy. Until he saw it. Shifting a lizard into a stone-like being, bigger with big fangs.";"Los sonidos lo hacían sentir nervioso, el aullido de los lobos, la risa espeluznante de las brujas, y las pisadas de los lagartos sobre las hojas y el crujir de las ramas. Pero sabia que el peligro estaba cerca, pero aun no lo hallaba. 
Con cada paso que daba, se sentia aun mas mareado, su estomago se sentia pesado. Hasta que lo vio, convirtiendo a una lagartija en un ser de piedra, mas grande y con colmillos."
dialog_7;"And the shadow, he was not able to see his face correctly, did it have one?
Lukas started to follow it, and it was moving really fast through the forest, it was getting close to his house. 
But, before getting out of the forest, it stopped.
???: You can’t stop me. Give up. 
Lukas: I do not look to stop you, this shall be your grave. ";"Y la sombra, no lograba visualizar su rostro. ¿Acaso tenia uno?
Lukas empezo a seguirlo, se desplazaba rapidamente a traves del bosque, y se acercaba a su hogar. 
Pero, antes de salir del bosque, se detuvo. 
Schutten: No me puedes detener. Rindete. 
Lukas: No busco detenerte, este lugar sera tu cementerio. "
dialog_8;"The being let out a terrible sound, Was it laughing? Was it a howl-like sound? That did not matter. Lukas attacked it. 
Everything went dark. Lukas saw his family in his gut. 
???: I am Schutten, there is no need for more information, but I am like you. I just care about what I want. If you want to save them, you shall defeat everything, all the things that try to put in your way to get to me, even yourself. ";"El ser dejo salir un sonido amargo, ¿Una carcajada? ¿Un chillido? Eso no importaba. Lukas lo ataco. 

Todo se oscurecio. Lukas vio a su familia en sus garras. 

Schutten: Soy Schutten, no necesitas mas informacion, pero soy como tu. Solo me importa lo que yo quiero. Si quieres salvarlos, tendras que derrotar a todo, a todos los que se pongan en tu camino para llegar a mi, incluso tu mismo. "
dialog_9;"Lukas saw his mother shift into a witch-like being, her horrifying expression and her heartbreaking scream before shifting into that horrible thing. Fire attacks were threatening in his direction. 
Lukas: If you wish to save them, the monster you shall defeat and bring back the light. 
Lukas recited to gain the courage to end with the witch.";"Lukas vio a su madre convertirse en una bruja horrible, su horripilante expresion y un grito desgarrador antes de volverse en esa cosa horrible. Ataques de fuego se dirigian en su direccion.
Lukas: Si salvarlos deseas, con el monstruo acabaras, y la luz brindaras. 
Recito Lukas para obtener el valor de acabar con esa bruja."
dialog_10;"No sound nor movement, nothing.
He followed with his expedition, found Schutten once again, this time was his father. He shifted into a monster, a stone lizard being. 
Once again, he gained the courage, an agonizing scream was in his ears again. He ignored it and followed with the last place of his expedition.";"No habia mas ruido ni movimiento, nada.
Siguio con su expedicion, encontro a Schutten una vez mas, esta vez fue su padre. Se convirtio en un monstruo de piedra, tal como esa lagartija. 
Se armo de valor nuevamente, un grito desgarrador volvió a sus oidos. Lo ignoro y siguio avanzando hasta el ultimo lugar."
